"","INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","STATISTICAL_MURDER_FLAG","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"1",194677549,2019-03-13,21:17:00,"STATEN ISLAND",122,0,TRUE,"45-64","M","WHITE",953944.125,154833.859375,40.591615742,-74.109120775,"POINT (-74.10912077499995 40.591615742000045)"
"2",202578454,2019-09-18,00:30:00,"MANHATTAN",28,0,FALSE,"45-64","M","BLACK",997405.8125,230838.46875,40.80027269,-73.9524841639999,"POINT (-73.95248416399994 40.80027269000004)"
"3",197700945,2019-05-28,04:15:00,"BROOKLYN",75,0,FALSE,"25-44","M","BLACK",1017588.75,180904,40.663161857,-73.879833181,"POINT (-73.87983318099998 40.663161857000034)"
"4",192545749,2019-01-19,04:00:00,"QUEENS",109,0,TRUE,"25-44","M","BLACK",1030091.625,220250.328125,40.771102001,-73.8344991879999,"POINT (-73.83449918799994 40.77110200100003)"
"5",203676930,2019-10-12,18:02:00,"MANHATTAN",28,0,TRUE,"25-44","M","BLACK",998252.9375,233407.78125,40.8073234460001,-73.949419088,"POINT (-73.94941908799996 40.807323446000055)"
"6",203676932,2019-10-13,02:30:00,"BROOKLYN",81,0,FALSE,"25-44","M","BLACK",1002882.875,192219.703125,40.6942640560001,-73.9328086369999,"POINT (-73.93280863699994 40.694264056000065)"
"7",201858654,2019-09-02,04:17:00,"QUEENS",102,0,TRUE,"25-44","M","WHITE HISPANIC",1034150,193486,40.6976186790001,-73.820045756,"POINT (-73.82004575599996 40.69761867900008)"
"8",201034737,2019-08-12,19:38:00,"MANHATTAN",25,0,FALSE,"<18","M","BLACK",1001806,230242.640625,40.798629658,-73.9365927539999,"POINT (-73.93659275399995 40.79862965800004)"
"9",200155033,2019-07-23,19:49:00,"BROOKLYN",69,0,FALSE,"18-24","M","BLACK",1013937.375,169957.265625,40.633128454,-73.893042586,"POINT (-73.89304258599998 40.63312845400003)"
"10",201573938,2019-08-25,00:59:00,"QUEENS",110,0,FALSE,"18-24","M","BLACK",1022838.8125,208240.34375,40.7381723170001,-73.860752931,"POINT (-73.86075293099998 40.73817231700008)"
