Precinct,Phone,Address,Latitude,Longitude
1st Precinct,212-334-0611,16 Ericsson Place,40.72037,-74.0075
5th Precinct,212-334-0711,19 Elizabeth Street,40.713636,-73.997
6th Precinct,212-741-4811,233 West 10 Street,40.734298,-74.005496
7th Precinct,212-477-7311,19 1/2 Pitt Street,40.71646,-73.98401
9th Precinct,212-477-7811,321 East 5 Street,40.72649,-73.98787
10th Precinct,212-741-8211,230 West 20th Street,40.742744,-73.998643
13th Precinct,212-477-7411,230 East 21st Street,40.73677,-73.98292
Midtown South Precinct,212-239-9811,357 West 35th Street,40.75383,-73.9949
17th Precinct,212-826-3211,167 East 51st Street,40.756827,-73.970786
Midtown North Precinct,212-767-8400,306 West 54th Street,40.765049,-73.985181
19th Precinct,212-452-0600,153 East 67th Street,40.767342,-73.963732
20th Precinct,212-580-6411,120 West 82nd Street,40.784155,-73.975097
Central Park Precinct,212-570-4820,86th St & Transverse Road,40.783786,-73.965654
23rd Precinct,212-860-6411,164 East 102nd Street,40.78912,-73.9471
24th Precinct,212-678-1811,151 West 100th Street,40.796441,-73.967389
25th Precinct,212-860-6511,120 East 119th Street,40.8007,-73.94115
26th Precinct,212-678-1311,520 West 126th Street,40.81475,-73.95641
28th Precinct,212-678-1611,2271-89 8th Avenue,40.80886,-73.95258
30th Precinct,212-690-8811,451 West 151st Street,40.82877,-73.94365
32nd Precinct,212-690-6311,250 West 135th Street,40.81575,-73.94538
33rd Precinct,212-927-3200,2207 Amsterdam Avenue,40.81343,-73.95622
34th Precinct,212-927-9711,4295 Broadway,40.71978,-74.00589
40th Precinct,718-402-2270,257 Alexander Avenue,40.81043,-73.92523
41st Precinct,718-542-4771,1035 Longwood Avenue,40.81633,-73.89565
42nd Precinct,718-402-3887,830 Washington Avenue,40.82244,-73.9112
43rd Precinct,718-542-0888,900 Fteley Avenue,40.82308,-73.86977
44th Precinct,718-590-5511,2 East 169th Street,40.83755,-73.91959
45th Precinct,718-822-5411,2877 Barkley Avenue,40.83085,-73.82737
46th Precinct,718-220-5211,2120 Ryer Avenue,40.85397,-73.90013
47th Precinct,718-920-1211,4111 Laconia Avenue,40.88757,-73.84753
48th Precinct,718-299-3900,450 Cross Bronx Expressway,40.8439,-73.90043
49th Precinct,718-918-2000,2121 Eastchester Road,40.85609,-73.84446
50th Precinct,718-543-5700,3450 Kingsbridge Avenue,40.88358,-73.90237
52nd Precinct,718-220-5811,3016 Webster Avenue,40.86912,-73.87967
60th Precinct,718-946-3311,2951 West 8th Street,40.57656,-73.97609
61st Precinct,718-627-6611,2575 Coney Island Avenue,40.59412,-73.96051
62nd Precinct,718-236-2611,1925 Bath Avenue,40.60251,-74.00311
63rd Precinct,718-258-4411,1844 Brooklyn Avenue,40.62793,-73.94161
66th Precinct,718-851-5611,5822 16th Avenue,40.62573,-73.99139
67th Precinct,718-287-3211,2820 Snyder Avenue,40.64868,-73.95029
68th Precinct,718-439-4211,333 65th Street,40.63899,-74.02262
69th Precinct,718-257-6211,9720 Foster Avenue,40.64847,-73.90497
70th Precinct,718-851-5511,154 Lawrence Avenue,40.63034,-73.97376
71st Precinct,718-735-0511,421 Empire Boulevard,40.66456,-73.94783
