X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.065921716535,33.8663312877149,2085,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Cerritos Sheriff Station,18135 S. Bloomfield Ave.,,Cerritos,CA,"Monday through Thursday, 8:00am to 9:00pm; Friday, 8:00am to 4:00pm.",Service/Intake (562) 860-0044,,http://www.lasd.org/stations/for3/cerritos/index.html,,,2221,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90703,http://egis3.lacounty.gov/lms/?p=2221,publish,33.86633132,-118.06592166,2013/05/29 10:21:24+00,,6541657.49071123,1773741.89472215
-118.15772300618,34.03411471742,2094,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,East Los Angeles Sheriff Station,5019 E. 3Rd St.,,Los Angeles,CA,"Monday through Thursday, 8:30am to 5:00pm; Friday, 8:30am to 3:30pm.",Service/Intake (323) 264-4151,,http://www.lasd.org/stations/for1/ela/index.html,,,2243,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90022,http://egis3.lacounty.gov/lms/?p=2243,publish,34.03411475,-118.15772295,2013/05/29 10:12:06+00,,6513883.79953955,1834832.89229056
-118.438624056675,34.2827799661161,2095,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.ci.san-fernando.ca.us/city_government/departments/police/index.shtml,City Of San Fernando Police Department,910 First St.,,San Fernando,CA,"Monday through Sunday, 24 hours per day. ",Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (818) 898-1267,,www.ci.san-fernando.ca.us/city_government/departments/police/index.shtml,,,2253,The department provides law enforcement services and a variety of crime prevention programs for residents of the city of San Fernando.,91340,http://egis3.lacounty.gov/lms/?p=2253,publish,34.28278,-118.438624,2013/06/01 11:50:56+00,,6429172.30590513,1925578.37024806
-118.352743055715,33.91903396669,2096,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.cityofhawthorne.com/depts/police/,City Of Hawthorne Police Department,12501 S. Hawthorne Blvd.,,Hawthorne,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (310) 675-4443, Front Desk/General Business/Juvenile Srvs. Service/Intake (310) 349-2700",,www.cityofhawthorne.com/depts/police/,,,2255,The department provides law enforcement services for residents of the City of Hawthorne.,90250,http://egis3.lacounty.gov/lms/?p=2255,publish,33.919034,-118.352743,2013/06/01 11:50:56+00,,6454650.28972597,1793102.86157756
-118.133176995826,33.8514058273485,2099,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Lakewood Sheriff Station,5130 N. Clark Ave.,,Lakewood,CA,"Monday through Thursday, 8:30am to 8:00pm; Friday, 8:30am to 5:00pm.",Service/Intake (562) 623-3500,,http://www.lasd.org/stations/for3/lakewood/index.html,,,2259,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90712,http://egis3.lacounty.gov/lms/?p=2259,publish,33.85140586,-118.13317694,2013/05/29 10:13:48+00,,6521232.59455322,1768330.37306489
-118.263010436255,33.8344949068495,2100,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Carson Sheriff Station,21356 S. Avalon Blvd.,,Carson,CA,"Monday through Thursday, 8:30am to 8:00pm; Friday, 8:30am to 5:00pm; Saturday, 9:00am to 5:00pm.",Service/Intake (310) 830-1123,,http://www.lasd.org/stations/for2/carson/index.html,,,2263,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90745,http://egis3.lacounty.gov/lms/?p=2263,publish,33.83449494,-118.26301038,2013/05/29 10:09:38+00,,6481794.03858797,1762253.76842023
-118.197253055753,33.768985967793,2102,211,,Public Safety,Sheriff and Police Stations,Police Stations,www.longbeach.gov/police/,City Of Long Beach Police Department,400 W. Broadway,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ","Graffiti Hotline Service/Intake (562) 570-2773, General Information Service/Intake and Administration (562) 570-7260, Permits/Licensing Service/Intake (562) 570-7219, Traffic Enforcement Service/Intake (562) 570-7209, Records Inquiries Service/Intake (562",,www.longbeach.gov/police/,,,2266,"The agency provides community services, law enforcement and mental health services for people who live in the city of Long Beach.",90802,http://egis3.lacounty.gov/lms/?p=2266,publish,33.768986,-118.197253,2013/06/01 11:50:56+00,,6501717.75267747,1738367.60162573
-118.224442956147,33.8940815671534,2106,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Compton Sheriff Station,301 S. Willowbrook Ave.,,Compton,CA,"Monday through Thursday, 9:00am to 5:00pm; Friday, 10:00am to 12:00pm.",Community Relations Service/Intake (310) 605-6500,,http://www.lasd.org/stations/for2/compton/index.html,,,2275,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90220,http://egis3.lacounty.gov/lms/?p=2275,publish,33.8940816,-118.2244429,2013/05/29 10:22:13+00,,6493555.38645631,1783910.37143239
-118.327060765079,33.3431054879235,2107,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County,Avalon Sheriff Station,215 Sumner Ave.,,Avalon,CA,"Monday through Thursday, 9:00am to 5:00pm; Friday, 9:00am to 1:00pm.",Service/Intake (310) 510-0174,,http://www.lasd.org/stations/for3/avalon/index.html ,,,2276,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90704,http://egis3.lacounty.gov/lms/?p=2276,publish,33.34310552,-118.32706071,2013/05/29 10:06:15+00,,6461760.11966638,1583475.3097049
-118.230346496432,34.221033316438,2115,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Crescenta Valley Sheriff Station,4554 N. Briggs,,La Crescenta,CA,"Monday through Wednesday, 10:00am to 8:00pm; Thursday and Friday, 10:00am to 5:00pm; Saturday, 11:00am to 5:00pm.",Service/Intake (818) 248-3464,,http://www.lasd.org/stations/for1/cresenta-valley/index.html,,,2298,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",91214,http://egis3.lacounty.gov/lms/?p=2298,publish,34.22103335,-118.23034644,2013/05/29 10:11:29+00,,6492036.41672522,1902898.34244548
-118.297854455676,33.9308991669382,2119,LA County Sheriff,1015579013,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County,South Los Angeles Sheriff Station,1310 W. Imperial Hwy.,,Los Angeles,CA,"Monday through Wednesday, 12:00noon to 8:00pm; Thursday, 11:00am to 6:00pm; Friday and Saturday, 11:00am to 5:00pm.","Service/Intake (323) 820-6700
",,http://www.lasdhq.org/stations/for2/South-LA/index.html,,,2312,,90044,http://egis3.lacounty.gov/lms/?p=2312,publish,33.9308992,-118.2978544,2013/06/04 13:42:23+00,,6471315.89287764,1797366.9645979
-118.227374606163,33.9277024375623,2123,211,,Public Safety,Sheriff and Police Stations,Sheriff Stations,LA County Sheriff,Century Sheriff Station,11703 S. Alameda St.,,Lynwood,CA,"Monday throughThursday, 8:00am to 4:00pm; Friday, 8:00am to 12:00pm.",Service/Intake (323) 568-4800,,http://www.lasd.org/stations/for2/century/index.html,,,2323,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",90262,http://egis3.lacounty.gov/lms/?p=2323,publish,33.92770247,-118.22737455,2013/05/29 10:10:41+00,,6492693.35405964,1796147.7485324
