"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","Ward","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"1",11859683,"JC471282",2019-10-13 03:10:00,"014XX N HOMAN AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1422,26,"04B",1153433,1909326,2019,"10/20/2019 04:03:03 PM",41.907034016,-87.711813676,"(41.907034016, -87.711813676)"
"2",11859222,"JC470839",2019-10-13 05:20:00,"029XX W LEXINGTON ST","041B","BATTERY","AGGRAVATED: OTHER FIREARM","VEHICLE NON-COMMERCIAL","false","false",1135,28,"04B",1156983,1896563,2019,"10/20/2019 04:03:03 PM",41.871939836,-87.699119496,"(41.871939836, -87.699119496)"
"3",11588026,"JC142821",2019-02-06 07:02:00,"053XX S CALUMET AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET","false","false",231,3,"04B",1179388,1869746,2019,"12/18/2020 03:48:35 PM",41.797868316,-87.617682453,"(41.797868316, -87.617682453)"
"4",11797986,"JC396970",2019-08-18 12:20:00,"035XX S RHODES AVE","041A","BATTERY","AGGRAVATED - HANDGUN","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false",212,4,"04B",1180162,1881716,2019,"04/23/2021 04:49:41 PM",41.830697249,-87.614476891,"(41.830697249, -87.614476891)"
"5",11820672,"JC424112",2019-09-07 07:30:00,"063XX S PARNELL AVE","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK","false","false",722,20,"04B",1173712,1863005,2019,"04/23/2021 04:49:41 PM",41.779498074,-87.638696896,"(41.779498074, -87.638696896)"
"6",11564233,"JC113610",2019-01-11 11:19:00,"002XX W 43RD ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET","false","false",925,3,"04B",1175483,1876470,2019,"11/21/2021 03:45:41 PM",41.816407929,-87.631801368,"(41.816407929, -87.631801368)"
"7",11711294,"JC292283",2019-06-04 07:14:00,"017XX N LOTUS AVE","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK","false","false",2532,37,"04B",1139800,1910935,2019,"03/25/2020 03:45:43 PM",41.911709438,-87.761854699,"(41.911709438, -87.761854699)"
"8",11859149,"JC470749",2019-10-13 02:25:00,"075XX S STEWART AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",621,6,"04B",1174932,1854921,2019,"10/20/2019 04:03:03 PM",41.75728752,-87.634465065,"(41.75728752, -87.634465065)"
"9",11861033,"JC472945",2019-10-14 09:40:00,"035XX W GRAND AVE","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1121,27,"04B",1152732,1907270,2019,"10/21/2019 04:19:28 PM",41.901406068,-87.71444325,"(41.901406068, -87.71444325)"
"10",11860941,"JC472633",2019-10-14 06:00:00,"055XX W FLOURNOY ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",1522,29,"04B",1139886,1896417,2019,"10/21/2019 04:19:28 PM",41.871868682,-87.761893959,"(41.871868682, -87.761893959)"
"11",11860037,"JC471781",2019-10-14 02:18:00,"003XX S KILBOURN AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",1131,28,"04B",1146440,1898187,2019,"10/21/2019 04:19:28 PM",41.876603524,-87.73778617,"(41.876603524, -87.73778617)"
"12",11861825,"JC474011",2019-10-15 06:44:00,"033XX S MORGAN ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",913,11,"04B",1170193,1882583,2019,"10/22/2019 04:09:46 PM",41.833299469,-87.651028132,"(41.833299469, -87.651028132)"
"13",11861476,"JC473374",2019-10-15 11:03:00,"010XX W 62ND ST","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",712,16,"04B",1170574,1863699,2019,"10/22/2019 04:09:46 PM",41.781471476,-87.650180934,"(41.781471476, -87.650180934)"
"14",11748740,"JC337972",2019-07-06 11:41:00,"053XX S HOYNE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK","false","false",932,16,"04B",1163273,1869018,2019,"03/26/2020 03:45:12 PM",41.796223552,-87.676799231,"(41.796223552, -87.676799231)"
"15",11864817,"JC477249",2019-10-18 12:06:00,"070XX S LAFAYETTE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false",731,6,"04B",1177063,1858155,2019,"03/26/2020 03:45:12 PM",41.766114212,-87.62655793,"(41.766114212, -87.62655793)"
"16",11863118,"JC475325",2019-10-16 06:42:00,"037XX S WOOD ST","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",912,12,"04B",1164962,1880006,2019,"10/23/2019 04:17:05 PM",41.82634032,-87.670294651,"(41.82634032, -87.670294651)"
"17",11665987,"JC237161",2019-04-24 08:42:00,"006XX N RIDGEWAY AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","true","false",1122,27,"04B",1151276,1903907,2019,"06/11/2019 04:08:23 PM",41.892206358,-87.719879646,"(41.892206358, -87.719879646)"
"18",11863146,"JC475486",2019-10-16 09:06:00,"002XX E 31ST ST","041A","BATTERY","AGGRAVATED: HANDGUN","SIDEWALK","false","false",211,3,"04B",1178335,1884499,2019,"10/23/2019 04:17:05 PM",41.838375767,-87.621095503,"(41.838375767, -87.621095503)"
"19",11863223,"JC475564",2019-10-16 09:45:00,"043XX S SPAULDING AVE","041A","BATTERY","AGGRAVATED: HANDGUN","STREET","false","false",821,14,"04B",1155073,1875742,2019,"10/23/2019 04:17:05 PM",41.814843049,-87.706689678,"(41.814843049, -87.706689678)"
"20",11632634,"JC197069",2019-03-23 07:21:00,"080XX S KNOX AVE","041A","BATTERY","AGGRAVATED - HANDGUN","DRIVEWAY - RESIDENTIAL","false","false",834,18,"04B",1147073,1850945,2019,"08/17/2020 03:47:51 PM",41.746952352,-87.736666298,"(41.746952352, -87.736666298)"
"21",11863463,"JC475752",2019-10-17 07:16:00,"028XX W ARTHINGTON ST","041A","BATTERY","AGGRAVATED: HANDGUN","ALLEY","false","false",1135,28,"04B",1157623,1895914,2019,"10/24/2019 04:04:33 PM",41.870145914,-87.696787454,"(41.870145914, -87.696787454)"
