"","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","Ward","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"1",12755300,"JF310405",2022-07-08 07:00:00,"064XX S KENWOOD AVE","041A","BATTERY","AGGRAVATED - HANDGUN","APARTMENT",FALSE,FALSE,"0314",20,"04B",1186178,1862508,2022,"11/12/2022 03:46:21 PM",41.777848842,-87.593011267,"(41.777848842, -87.593011267)"
"2",12754653,"JF309516",2022-07-08 06:20:00,"073XX N CLARK ST","041A","BATTERY","AGGRAVATED - HANDGUN","PARK PROPERTY",FALSE,FALSE,"2423",49,"04B",1163150,1948692,2022,"11/12/2022 03:46:21 PM",42.014857379,-87.675008008,"(42.014857379, -87.675008008)"
"3",12761268,"JF317591",2022-07-14 04:37:00,"045XX W MAYPOLE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"1113",28,"04B",1146170,1901074,2022,"11/12/2022 03:46:21 PM",41.884530928,-87.73870409,"(41.884530928, -87.73870409)"
"4",12755535,"JF310677",2022-07-09 02:30:00,"024XX W 104TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","ALLEY",FALSE,FALSE,"2211",19,"04B",1161965,1835606,2022,"11/12/2022 03:46:21 PM",41.704563313,-87.682522559,"(41.704563313, -87.682522559)"
"5",12761424,"JF317851",2022-07-14 07:59:00,"110XX S VERNON AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0513",9,"04B",1181203,1831877,2022,"11/12/2022 03:46:21 PM",41.693909881,-87.612190453,"(41.693909881, -87.612190453)"
"6",12763289,"JF320256",2022-07-17 12:00:00,"018XX S PULASKI RD","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"1012",24,"04B",1150007,1890745,2022,"11/12/2022 03:46:21 PM",41.856113138,-87.72488284,"(41.856113138, -87.72488284)"
"7",12765234,"JF322292",2022-07-18 04:47:00,"072XX S CHAMPLAIN AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0323",6,"04B",1181816,1857201,2022,"11/12/2022 03:46:21 PM",41.763387846,-87.609166095,"(41.763387846, -87.609166095)"
"8",12754317,"JF309136",2022-07-07 06:50:00,"029XX S STATE ST","041A","BATTERY","AGGRAVATED - HANDGUN","CHA HALLWAY / STAIRWELL / ELEVATOR",FALSE,FALSE,"0133",3,"04B",1176758,1885480,2022,"11/12/2022 03:46:21 PM",41.841103444,-87.626852618,"(41.841103444, -87.626852618)"
"9",12756172,"JF311450",2022-07-09 06:16:00,"073XX S PERRY AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0731",6,"04B",1176664,1856422,2022,"11/12/2022 03:46:21 PM",41.761367651,-87.628072478,"(41.761367651, -87.628072478)"
"10",12763884,"JF320727",2022-07-17 12:39:00,"070XX S ST LAWRENCE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0322",6,"04B",1181454,1858456,2022,"11/12/2022 03:46:21 PM",41.766840049,-87.610454227,"(41.766840049, -87.610454227)"
"11",12760427,"JF316721",2022-07-13 11:03:00,"008XX E 49TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0223",4,"04B",1182533,1872699,2022,"11/12/2022 03:46:21 PM",41.805899162,-87.606057712,"(41.805899162, -87.606057712)"
"12",12761062,"JF317450",2022-07-14 02:45:00,"087XX S CARPENTER ST","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,FALSE,"2222",21,"04B",1170842,1846851,2022,"11/12/2022 03:46:21 PM",41.735232555,-87.649689253,"(41.735232555, -87.649689253)"
"13",12758137,"JF313811",2022-07-11 05:44:00,"094XX S LAFAYETTE AVE","041A","BATTERY","AGGRAVATED - HANDGUN","STREET",FALSE,FALSE,"0634",21,"04B",1177601,1842215,2022,"11/12/2022 03:46:21 PM",41.72236078,-87.625066872,"(41.72236078, -87.625066872)"
"14",12755410,"JF310538",2022-07-08 06:41:00,"088XX S PRINCETON AVE","041A","BATTERY","AGGRAVATED - HANDGUN","SIDEWALK",FALSE,TRUE,"0634",21,"04B",1175706,1846346,2022,"11/12/2022 03:46:21 PM",41.733739365,-87.631884662,"(41.733739365, -87.631884662)"
"15",12755256,"JF310323",2022-07-08 05:46:00,"0000X W 69TH ST","041A","BATTERY","AGGRAVATED - HANDGUN","CTA TRAIN",TRUE,FALSE,"0731",6,"04B",1177279,1859276,2022,"11/12/2022 03:46:21 PM",41.769185486,-87.625732415,"(41.769185486, -87.625732415)"
