"","DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Vict Age","Status Desc","LOCATION","LAT","LON"
"1","190401273","10/05/2019 12:00:00 AM",2019-10-05 12:00:00,"1640","04","Hollenbeck","0451",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","1400    GABRIEL GARCIA MARQUEZ       ST",34.0504,-118.2248
"2","190613955","06/21/2019 12:00:00 AM",2019-06-21 12:00:00,"0125","06","Hollywood","0636",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","WHITLEY",34.1052,-118.3333
"3","190318269","08/08/2019 12:00:00 AM",2019-08-08 12:00:00,"0045","03","Southwest","0354",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",18,"Invest Cont","36TH                         ST",34.0229,-118.3224
"4","191113229","07/08/2019 12:00:00 AM",2019-07-06 12:00:00,"0930","11","Northeast","1102",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",65,"Invest Cont","4000    VERDANT                      ST",34.1317,-118.2705
"5","191600941","08/31/2019 12:00:00 AM",2019-08-31 12:00:00,"2030","16","Foothill","1611",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",54,"Invest Cont","11600    GLENOAKS                     BL",34.279,-118.4264
"6","191209202","03/17/2019 12:00:00 AM",2019-03-17 12:00:00,"1830","12","77th Street","1263",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",36,"Invest Cont","ST ANDREWS",33.9627,-118.3112
"7","191814752","06/24/2019 12:00:00 AM",2019-06-24 12:00:00,"0105","18","Southeast","1823",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","400 E  102ND                        ST",33.9438,-118.2673
"8","190400564","01/25/2019 12:00:00 AM",2019-01-25 12:00:00,"0240","04","Hollenbeck","0499",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","3500    GARNET                       ST",34.0221,-118.2014
"9","190507050","03/11/2019 12:00:00 AM",2019-03-11 12:00:00,"2300","05","Harbor","0564",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","6TH                          ST",33.7388,-118.2857
"10","190401321","10/17/2019 12:00:00 AM",2019-10-17 12:00:00,"0300","04","Hollenbeck","0416",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"Invest Cont","1100    MONTECITO                    DR",34.0874,-118.2021
