"","DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA","AREA NAME","Rpt Dist No","Part 1-2","Crm Cd","Crm Cd Desc","Vict Age","Status","Status Desc","LOCATION","LAT","LON"
"1","221400716","04/24/2022 12:00:00 AM",2022-04-22 12:00:00,"2350","14","Pacific","1453",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","13400    WASHINGTON                   BL",33.9922,-118.4443
"2","220500692","05/15/2022 12:00:00 AM",2022-05-15 12:00:00,"1140","05","Harbor","0516",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"AA","Adult Arrest","L                            ST",33.7867,-118.2636
"3","222010856","06/07/2022 12:00:00 AM",2022-06-07 12:00:00,"1127","20","Olympic","2042",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","900 S  GRAMERCY                     PL",34.0559,-118.3132
"4","220506100","02/24/2022 12:00:00 AM",2022-02-24 12:00:00,"0140","05","Harbor","0564",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"AA","Adult Arrest","400 W  4TH                          ST",33.7406,-118.2857
"5","220304301","01/06/2022 12:00:00 AM",2022-01-06 12:00:00,"2255","03","Southwest","0334",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",21,"IC","Invest Cont","3000 W  30TH                         ST",34.0276,-118.3282
"6","221100872","09/07/2022 12:00:00 AM",2022-09-07 12:00:00,"2320","11","Northeast","1178",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",25,"IC","Invest Cont","300    AMABEL                       ST",34.0885,-118.2156
"7","221813390","06/28/2022 12:00:00 AM",2022-06-28 12:00:00,"0630","18","Southeast","1801",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","8800    ORCHARD                      AV",33.958,-118.2882
"8","221814396","07/17/2022 12:00:00 AM",2022-07-17 12:00:00,"2335","18","Southeast","1823",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","300 E  COLDEN                       AV",33.9492,-118.2695
"9","221107535","04/05/2022 12:00:00 AM",2022-04-05 12:00:00,"1135","11","Northeast","1135",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","3500    KINNEY                       ST",34.1131,-118.233
"10","221105352","02/07/2022 12:00:00 AM",2022-02-06 12:00:00,"2010","11","Northeast","1172",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","1600    MOHAWK                       ST",34.0845,-118.2622
"11","221400724","04/25/2022 12:00:00 AM",2022-04-25 12:00:00,"0530","14","Pacific","1427",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","3100 S  BENTLEY                      AV",34.0265,-118.426
"12","220514430","10/03/2022 12:00:00 AM",2022-10-03 12:00:00,"2155","05","Harbor","0564",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","3RD",33.7415,-118.2836
"13","221100539","01/23/2022 12:00:00 AM",2022-01-22 12:00:00,"2325","11","Northeast","1134",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"AA","Adult Arrest","3200    DIVISION                     ST",34.1096,-118.2383
"14","221100673","04/17/2022 12:00:00 AM",2022-04-17 12:00:00,"0223","11","Northeast","1124",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","3300    DREW                         ST",34.1199,-118.2431
"15","220118146","08/13/2022 12:00:00 AM",2022-08-13 12:00:00,"0555","01","Central","0162",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","800 S  FIGUEROA                     ST",34.0479,-118.2612
"16","220400523","01/19/2022 12:00:00 AM",2022-01-18 12:00:00,"2345","04","Hollenbeck","0471",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"AA","Adult Arrest","JESSE                        ST",34.0368,-118.2242
"17","221205137","01/23/2022 12:00:00 AM",2022-01-23 12:00:00,"0355","12","77th Street","1215",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","1000 W  53RD                         ST",33.9941,-118.2915
"18","220500802","09/16/2022 12:00:00 AM",2022-09-16 12:00:00,"1945","05","Harbor","0504",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","1600 W  205TH                        ST",33.8448,-118.3066
"19","220901019","10/01/2022 12:00:00 AM",2022-09-30 12:00:00,"2343","09","Van Nuys","0939",2,753,"DISCHARGE FIREARMS/SHOTS FIRED",0,"IC","Invest Cont","OXNARD",34.1794,-118.4204
